Company,Symbol,Weight
Nxp Semiconductors Nv,NXPI,0.124903
Us Bancorp,USB,0.124465
Dominion Energy Inc,D,0.123971
Autodesk Inc,ADSK,0.123199
Johnson Controls Internation,JCI,0.120698
Ecolab Inc,ECL,0.120465
Parker Hannifin Corp,PH,0.119751
Travelers Cos Inc,TRV,0.117938
American International Group,AIG,0.117381
Transdigm Group Inc,TDG,0.117254
Microchip Technology Inc,MCHP,0.116949
Truist Financial Corp,TFC,0.11676
Archer Daniels Midland Co,ADM,0.115846
Cintas Corp,CTAS,0.115763
Exelon Corp,EXC,0.11569
Corteva Inc,CTVA,0.114428
Hershey Co,HSY,0.111864
Idexx Laboratories Inc,IDXX,0.111347
Trane Technologies Plc,TT,0.110786
Capital One Financial Corp,COF,0.110173
Te Connectivity Ltd,TEL,0.109567
Constellation Brands Inc A,STZ,0.109133
Realty Income Corp,O,0.107291
Copart Inc,CPRT,0.10726
Hess Corp,HES,0.107093
Yum Brands Inc,YUM,0.106695
Iqvia Holdings Inc,IQV,0.106505
Paccar Inc,PCAR,0.106383
Msci Inc,MSCI,0.105864
Hilton Worldwide Holdings In,HLT,0.105736
Aflac Inc,AFL,0.104793
Sysco Corp,SYY,0.104734
Dow Inc,DOW,0.10455
Agilent Technologies Inc,A,0.103679
Centene Corp,CNC,0.103227
Xcel Energy Inc,XEL,0.103174
Williams Cos Inc,WMB,0.10289
Welltower Inc,WELL,0.101543
Arista Networks Inc,ANET,0.101336
Ross Stores Inc,ROST,0.10129
Charter Communications Inc A,CHTR,0.101175
L3harris Technologies Inc,LHX,0.100765
Paychex Inc,PAYX,0.100592
Carrier Global Corp,CARR,0.100279
On Semiconductor,ON,0.099708
Otis Worldwide Corp,OTIS,0.098196
Verisk Analytics Inc,VRSK,0.098112
Nucor Corp,NUE,0.097845
Simon Property Group Inc,SPG,0.096852
Illumina Inc,ILMN,0.096833
Dr Horton Inc,DHI,0.096433
Newmont Corp,NEM,0.096227
Ametek Inc,AME,0.096066
Consolidated Edison Inc,ED,0.096055
Metlife Inc,MET,0.095873
Electronic Arts Inc,EA,0.094706
Kinder Morgan Inc,KMI,0.094372
Devon Energy Corp,DVN,0.093828
Dollar Tree Inc,DLTR,0.093642
Resmed Inc,RMD,0.09349
Kroger Co,KR,0.093481
Costar Group Inc,CSGP,0.092612
Fidelity National Info Serv,FIS,0.092522
Cognizant Tech Solutions A,CTSH,0.092388
Ppg Industries Inc,PPG,0.090461
